factor,season,week,contestant,p_wrongful,ci_lower,ci_upper,classification,interval_width,n_samples
0.08,30,5,Melanie C,0.9975,0.9941607609565954,0.9989317070308944,Definite-Wrongful,0.9454545454545452,2000
0.08,30,6,Kenya Moore,0.6665,0.6455353530747792,0.6868262467642501,Uncertain,0.92,2000
0.08,30,7,"Mike ""The Miz"" Mizanin",0.665,0.6440151987632389,0.685352152428592,Uncertain,0.92,2000
0.08,30,8,Jimmie Allen,0.5795,0.5577331040382113,0.6009620742633072,Uncertain,0.92,2000
0.08,30,8,Olivia Jade,0.874,0.858735326365837,0.8878306696689793,Uncertain,0.93,2000
0.08,30,9,Melora Hardin,0.6905,0.669890281147295,0.7103792970469097,Uncertain,0.9266666666666667,2000
0.08,30,9,Suni Lee,0.916,0.9030309246879455,0.9273740334684276,Uncertain,0.94,2000
0.08,31,1,Jason Lewis,0.845,0.828478836073482,0.8601983527821639,Uncertain,0.9225,2000
0.08,31,2,Teresa Giudice,0.8495,0.8331598700909112,0.8645000647063305,Uncertain,0.9226666666666667,2000
0.08,31,3,Cheryl Ladd,0.9735,0.9655013111644845,0.97968317846783,Definite-Wrongful,0.9228571428571428,2000
0.08,31,4,Sam Champion,0.2085,0.1912630564036264,0.2268546231574726,Uncertain,0.92,2000
0.08,31,5,Joseph Baena,0.8070987654320988,0.7847212503489859,0.8276610583877094,Uncertain,0.9266666666666667,1296
0.08,31,6,Jessie James Decker,0.7045,0.6841264888827439,0.7240894100186464,Uncertain,0.924,2000
0.08,31,7,Jordin Sparks,0.6485,0.6273087613813522,0.6691218546912954,Uncertain,0.9244444444444444,2000
0.08,31,8,Heidi D'Amelio,0.7465,0.7269744952224438,0.7650803658005033,Uncertain,0.925,2000
0.08,31,8,Vinny Guadagnino,0.5095,0.4875932809932715,0.5313702937723186,Uncertain,0.92,2000
0.08,31,9,Trevor Donovan,0.5475,0.5256153094961337,0.5692025643318176,Uncertain,0.92,2000
0.08,31,9,Daniel Durant,0.5885,0.5667828795121127,0.6098777906725966,Uncertain,0.9266666666666667,2000
0.08,32,1,Matt Walsh,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9228571428571428,2000
0.08,32,2,Jamie Lynn Spears,1.0,0.9980828823994872,1.0,Definite-Wrongful,0.9323076923076924,2000
0.08,32,3,Tyson Beckford,0.7032040472175379,0.6765810859392025,0.7285148528815615,Uncertain,0.92,1186
0.08,32,4,Adrian Peterson,0.957,0.9471986939284612,0.96504906058467,Definite-Wrongful,0.9381818181818182,2000
0.08,32,5,Mira Sorvino,0.828,0.8108356591892059,0.8439067116648575,Uncertain,0.928,2000
0.08,32,6,Mauricio Umansky,0.864,0.8482769918445334,0.8783273465422932,Uncertain,0.9333333333333332,2000
